title,description,priority,tags
Power outage,Citizens have complained about power outage at the bus depot. It has been ignored for days.,high,['electricity']
Overflowing bins,Citizens have complained about overflowing bins at the bus depot. It has been ignored for days.,low,['garbage']
Polluted water body,"A case of polluted water body has emerged outside Building 14, disrupting daily activities.",low,['environment']
Unsafe footpath,The area behind the hospital is suffering due to unsafe footpath. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'health']"
Unsafe footpath,Citizens have complained about unsafe footpath near the lake. It has been ignored for days.,high,['public safety']
Contaminated water,Citizens have complained about contaminated water outside the railway station. It has been ignored for days.,low,['water']
Damaged bus stop,Citizens have complained about damaged bus stop in the market area. It has been ignored for days.,low,"['transport', 'infrastructure']"
Waste dumped on street,"Waste dumped on street reported by the school gate, causing inconvenience and safety concerns.",low,['garbage']
Cracked pavement,There has been a persistent issue with cracked pavement outside Building 14. Residents are concerned.,low,"['transport', 'road']"
Uncollected garbage,"Uncollected garbage reported by the school gate, causing inconvenience and safety concerns.",medium,"['sanitation', 'garbage']"
Mosquito breeding site,The area outside the railway station is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem by the school gate.,low,['public safety']
Signal blocked by trees,The area at the bus depot is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['transport', 'public safety', 'signal']"
Uncollected garbage,There has been a persistent issue with uncollected garbage in the market area. Residents are concerned.,medium,"['sanitation', 'garbage']"
Clogged drainage,There has been a persistent issue with clogged drainage at the community center. Residents are concerned.,high,['sanitation']
Pothole,"Pothole reported in the market area, causing inconvenience and safety concerns.",medium,"['transport', 'infrastructure', 'road']"
Dirty public toilet,"Dirty public toilet reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'environment']"
No water supply,There has been a persistent issue with no water supply near the lake. Residents are concerned.,low,['water']
School without drinking water,There has been a persistent issue with school without drinking water outside Building 14. Residents are concerned.,low,"['infrastructure', 'education']"
Unsafe footpath,"Unsafe footpath reported at the bus depot, causing inconvenience and safety concerns.",high,"['public safety', 'health']"
Dark alley,"Dark alley reported behind the hospital, causing inconvenience and safety concerns.",high,"['public safety', 'health']"
Waste dumped on street,Citizens have complained about waste dumped on street at the community center. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
Tree fallen on road,Citizens have complained about tree fallen on road near the lake. It has been ignored for days.,low,['environment']
Power outage,There has been a persistent issue with power outage in the residential colony. Residents are concerned.,high,"['electricity', 'public safety']"
Contaminated water,Citizens have complained about contaminated water outside the railway station. It has been ignored for days.,low,"['health', 'sanitation', 'water']"
Broken bench,There has been a persistent issue with broken bench outside Building 14. Residents are concerned.,medium,"['infrastructure', 'public safety', 'environment']"
Cracked pavement,"Cracked pavement reported at the community center, causing inconvenience and safety concerns.",low,"['infrastructure', 'road']"
Damaged bus stop,Authorities are yet to act on the damaged bus stop problem behind the hospital.,low,"['transport', 'infrastructure', 'road']"
Sparking transformer,"Sparking transformer reported outside the railway station, causing inconvenience and safety concerns.",high,['electricity']
Faded zebra crossing,"A case of faded zebra crossing has emerged near Sector 5, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
Waste dumped on street,"Waste dumped on street reported by the school gate, causing inconvenience and safety concerns.",low,['garbage']
Sparking transformer,The area by the school gate is suffering due to sparking transformer. Immediate attention is needed.,high,['electricity']
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem outside Building 14.,low,['garbage']
Polluted water body,The area outside the railway station is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'environment']"
Dark alley,The area behind the hospital is suffering due to dark alley. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'health']"
Sparking transformer,The area outside Building 14 is suffering due to sparking transformer. Immediate attention is needed.,high,['electricity']
Contaminated water,"A case of contaminated water has emerged outside the railway station, disrupting daily activities.",low,['water']
School without drinking water,The area at the community center is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem by the school gate.,low,['garbage']
No water supply,The area at the bus depot is suffering due to no water supply. Immediate attention is needed.,low,['water']
Street in darkness,There has been a persistent issue with street in darkness outside the railway station. Residents are concerned.,high,"['public safety', 'streetlight']"
Street in darkness,The area outside the railway station is suffering due to street in darkness. Immediate attention is needed.,high,"['infrastructure', 'public safety', 'streetlight']"
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem in the market area.,medium,"['transport', 'signal']"
Faded zebra crossing,The area near Sector 5 is suffering due to faded zebra crossing. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
School without drinking water,Citizens have complained about school without drinking water behind the hospital. It has been ignored for days.,low,"['infrastructure', 'health', 'education']"
Frequent theft reports,The area at the bus depot is suffering due to frequent theft reports. Immediate attention is needed.,low,['public safety']
Damaged bus stop,The area near Sector 5 is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'road']"
No water supply,The area near Sector 5 is suffering due to no water supply. Immediate attention is needed.,low,"['health', 'water']"
Pipe leakage,Citizens have complained about pipe leakage near the lake. It has been ignored for days.,low,"['health', 'water']"
Clogged drainage,The area near the lake is suffering due to clogged drainage. Immediate attention is needed.,high,['sanitation']
Missing bus route board,"Missing bus route board reported by the school gate, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Non-functional streetlight,"Non-functional streetlight reported by the school gate, causing inconvenience and safety concerns.",medium,"['public safety', 'streetlight']"
Flickering light,Citizens have complained about flickering light by the school gate. It has been ignored for days.,medium,"['public safety', 'streetlight']"
Damaged wall,The area by the school gate is suffering due to damaged wall. Immediate attention is needed.,low,['infrastructure']
Faded zebra crossing,There has been a persistent issue with faded zebra crossing in the market area. Residents are concerned.,low,"['infrastructure', 'road']"
Missing bus route board,Citizens have complained about missing bus route board near Sector 5. It has been ignored for days.,low,['transport']
Contaminated water,"Contaminated water reported at the community center, causing inconvenience and safety concerns.",low,['water']
Non-functional streetlight,Citizens have complained about non-functional streetlight outside the railway station. It has been ignored for days.,medium,['streetlight']
Bad smell from drains,The area by the school gate is suffering due to bad smell from drains. Immediate attention is needed.,low,"['health', 'sanitation']"
Street in darkness,Citizens have complained about street in darkness by the school gate. It has been ignored for days.,high,"['infrastructure', 'public safety', 'streetlight']"
Unsafe footpath,Authorities are yet to act on the unsafe footpath problem in the market area.,high,['public safety']
Open sewage,"A case of open sewage has emerged near the lake, disrupting daily activities.",high,"['health', 'sanitation', 'environment']"
Non-functional streetlight,Citizens have complained about non-functional streetlight near Sector 5. It has been ignored for days.,medium,"['infrastructure', 'streetlight']"
Signal blocked by trees,Authorities are yet to act on the signal blocked by trees problem outside the railway station.,medium,"['transport', 'signal']"
Flickering light,There has been a persistent issue with flickering light outside Building 14. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Street in darkness,Citizens have complained about street in darkness at the bus depot. It has been ignored for days.,high,"['public safety', 'streetlight']"
School without drinking water,There has been a persistent issue with school without drinking water outside Building 14. Residents are concerned.,low,['education']
Broken bench,"Broken bench reported outside the railway station, causing inconvenience and safety concerns.",medium,['infrastructure']
Tree fallen on road,"Tree fallen on road reported at the community center, causing inconvenience and safety concerns.",low,['environment']
Polluted water body,There has been a persistent issue with polluted water body by the school gate. Residents are concerned.,low,"['health', 'environment']"
School without drinking water,"School without drinking water reported outside the railway station, causing inconvenience and safety concerns.",low,"['infrastructure', 'education']"
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem by the school gate.,low,"['infrastructure', 'health', 'education']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem outside the railway station.,low,['health']
School without drinking water,The area behind the hospital is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Broken bench,"Broken bench reported at the bus depot, causing inconvenience and safety concerns.",medium,"['infrastructure', 'public safety', 'environment']"
Dirty public toilet,"A case of dirty public toilet has emerged behind the hospital, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Mosquito breeding site,Citizens have complained about mosquito breeding site behind the hospital. It has been ignored for days.,low,['health']
Mosquito breeding site,"A case of mosquito breeding site has emerged outside the railway station, disrupting daily activities.",low,['health']
Uncollected garbage,Citizens have complained about uncollected garbage at the community center. It has been ignored for days.,medium,['garbage']
Damaged wall,The area in the residential colony is suffering due to damaged wall. Immediate attention is needed.,low,"['infrastructure', 'public safety', 'environment']"
Pothole,"A case of pothole has emerged by the school gate, disrupting daily activities.",medium,['road']
Bad smell from drains,There has been a persistent issue with bad smell from drains outside the railway station. Residents are concerned.,low,"['health', 'sanitation']"
Polluted water body,The area outside Building 14 is suffering due to polluted water body. Immediate attention is needed.,low,"['health', 'sanitation', 'environment']"
Cracked pavement,"Cracked pavement reported at the bus depot, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Sparking transformer,There has been a persistent issue with sparking transformer at the bus depot. Residents are concerned.,high,['electricity']
Faded zebra crossing,There has been a persistent issue with faded zebra crossing outside the railway station. Residents are concerned.,low,"['infrastructure', 'road']"
Tree fallen on road,The area by the school gate is suffering due to tree fallen on road. Immediate attention is needed.,low,"['health', 'environment']"
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal in the market area. It has been ignored for days.,medium,"['transport', 'public safety', 'signal']"
Flickering light,Authorities are yet to act on the flickering light problem at the community center.,medium,['streetlight']
Bad smell from drains,Authorities are yet to act on the bad smell from drains problem near Sector 5.,low,['sanitation']
Power outage,Citizens have complained about power outage behind the hospital. It has been ignored for days.,high,"['electricity', 'public safety']"
Clogged drainage,The area behind the hospital is suffering due to clogged drainage. Immediate attention is needed.,high,"['health', 'sanitation', 'environment']"
Dark alley,Citizens have complained about dark alley in the residential colony. It has been ignored for days.,high,"['infrastructure', 'public safety', 'health']"
Clogged drainage,There has been a persistent issue with clogged drainage behind the hospital. Residents are concerned.,high,"['health', 'sanitation', 'environment']"
Fallen signboard,Authorities are yet to act on the fallen signboard problem near Sector 5.,low,"['infrastructure', 'public safety']"
Tree fallen on road,Citizens have complained about tree fallen on road in the residential colony. It has been ignored for days.,low,['environment']
Open sewage,"A case of open sewage has emerged outside Building 14, disrupting daily activities.",high,"['health', 'sanitation', 'environment']"
Sparking transformer,Citizens have complained about sparking transformer behind the hospital. It has been ignored for days.,high,['electricity']
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem in the residential colony.,low,"['health', 'sanitation', 'environment']"
Polluted water body,The area in the market area is suffering due to polluted water body. Immediate attention is needed.,low,['environment']
Non-functional streetlight,There has been a persistent issue with non-functional streetlight outside the railway station. Residents are concerned.,medium,['streetlight']
No water supply,"No water supply reported at the bus depot, causing inconvenience and safety concerns.",low,['water']
Non-functional streetlight,Authorities are yet to act on the non-functional streetlight problem in the market area.,medium,['streetlight']
Broken bench,The area near the lake is suffering due to broken bench. Immediate attention is needed.,medium,"['infrastructure', 'environment']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem in the market area.,low,"['health', 'environment']"
Dark alley,Citizens have complained about dark alley in the market area. It has been ignored for days.,high,"['infrastructure', 'public safety']"
Mosquito breeding site,The area at the community center is suffering due to mosquito breeding site. Immediate attention is needed.,low,['health']
Contaminated water,The area by the school gate is suffering due to contaminated water. Immediate attention is needed.,low,"['health', 'sanitation', 'water']"
Damaged wall,Citizens have complained about damaged wall at the community center. It has been ignored for days.,low,"['infrastructure', 'public safety', 'environment']"
Power outage,"A case of power outage has emerged behind the hospital, disrupting daily activities.",high,"['electricity', 'infrastructure', 'public safety']"
Signal blocked by trees,"A case of signal blocked by trees has emerged near the lake, disrupting daily activities.",medium,"['transport', 'public safety', 'signal']"
Polluted water body,Citizens have complained about polluted water body near the lake. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Waste dumped on street,Citizens have complained about waste dumped on street in the residential colony. It has been ignored for days.,low,"['environment', 'sanitation', 'garbage']"
Power outage,Citizens have complained about power outage near Sector 5. It has been ignored for days.,high,['electricity']
Bad smell from drains,Citizens have complained about bad smell from drains near Sector 5. It has been ignored for days.,low,"['sanitation', 'environment']"
Clogged drainage,The area outside Building 14 is suffering due to clogged drainage. Immediate attention is needed.,high,"['health', 'sanitation', 'environment']"
Contaminated water,Citizens have complained about contaminated water near the lake. It has been ignored for days.,low,"['sanitation', 'water']"
Dirty public toilet,"Dirty public toilet reported in the residential colony, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Overflowing bins,"A case of overflowing bins has emerged in the residential colony, disrupting daily activities.",low,['garbage']
Frequent theft reports,"A case of frequent theft reports has emerged at the community center, disrupting daily activities.",low,['public safety']
Contaminated water,Citizens have complained about contaminated water outside Building 14. It has been ignored for days.,low,['water']
School without drinking water,"A case of school without drinking water has emerged in the market area, disrupting daily activities.",low,['education']
Damaged road,There has been a persistent issue with damaged road near the lake. Residents are concerned.,low,['road']
Unsafe footpath,There has been a persistent issue with unsafe footpath outside Building 14. Residents are concerned.,high,['public safety']
Missing bus route board,"Missing bus route board reported outside Building 14, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Missing bus route board,"Missing bus route board reported outside Building 14, causing inconvenience and safety concerns.",low,"['transport', 'road']"
Broken classroom windows,"A case of broken classroom windows has emerged outside Building 14, disrupting daily activities.",low,"['health', 'education']"
Broken classroom windows,There has been a persistent issue with broken classroom windows behind the hospital. Residents are concerned.,low,"['infrastructure', 'education']"
Frequent theft reports,"A case of frequent theft reports has emerged at the bus depot, disrupting daily activities.",low,"['infrastructure', 'public safety', 'health']"
Mosquito breeding site,"Mosquito breeding site reported outside Building 14, causing inconvenience and safety concerns.",low,['health']
Cracked pavement,Citizens have complained about cracked pavement outside Building 14. It has been ignored for days.,low,"['transport', 'road']"
Mosquito breeding site,"Mosquito breeding site reported outside Building 14, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'environment']"
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem in the residential colony.,low,['garbage']
Frequent theft reports,There has been a persistent issue with frequent theft reports outside the railway station. Residents are concerned.,low,"['infrastructure', 'public safety', 'health']"
Tree fallen on road,The area in the market area is suffering due to tree fallen on road. Immediate attention is needed.,low,"['health', 'environment']"
Tree fallen on road,There has been a persistent issue with tree fallen on road by the school gate. Residents are concerned.,low,"['health', 'environment']"
Frequent theft reports,There has been a persistent issue with frequent theft reports behind the hospital. Residents are concerned.,low,"['infrastructure', 'public safety']"
Damaged bus stop,The area near the lake is suffering due to damaged bus stop. Immediate attention is needed.,low,"['transport', 'road']"
Dark alley,There has been a persistent issue with dark alley near the lake. Residents are concerned.,high,['public safety']
Missing bus route board,There has been a persistent issue with missing bus route board in the residential colony. Residents are concerned.,low,"['transport', 'infrastructure']"
Clogged drainage,Authorities are yet to act on the clogged drainage problem in the market area.,high,['sanitation']
Flickering light,There has been a persistent issue with flickering light by the school gate. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Damaged bus stop,"Damaged bus stop reported near Sector 5, causing inconvenience and safety concerns.",low,['transport']
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem outside Building 14.,low,"['infrastructure', 'education']"
Open sewage,Authorities are yet to act on the open sewage problem at the bus depot.,high,"['health', 'sanitation', 'environment']"
Power outage,The area outside Building 14 is suffering due to power outage. Immediate attention is needed.,high,"['electricity', 'public safety']"
Open sewage,There has been a persistent issue with open sewage in the market area. Residents are concerned.,high,['sanitation']
Damaged road,"Damaged road reported outside Building 14, causing inconvenience and safety concerns.",low,"['infrastructure', 'road']"
Damaged bus stop,Citizens have complained about damaged bus stop in the market area. It has been ignored for days.,low,['transport']
Polluted water body,There has been a persistent issue with polluted water body behind the hospital. Residents are concerned.,low,"['health', 'sanitation', 'environment']"
Broken classroom windows,The area outside the railway station is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'health', 'education']"
Damaged road,"A case of damaged road has emerged at the bus depot, disrupting daily activities.",low,"['transport', 'infrastructure', 'road']"
School without drinking water,Authorities are yet to act on the school without drinking water problem near the lake.,low,['education']
Broken classroom windows,There has been a persistent issue with broken classroom windows at the bus depot. Residents are concerned.,low,['education']
Polluted water body,Authorities are yet to act on the polluted water body problem in the residential colony.,low,"['health', 'sanitation', 'environment']"
Polluted water body,Citizens have complained about polluted water body in the market area. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Non-functional streetlight,"A case of non-functional streetlight has emerged by the school gate, disrupting daily activities.",medium,"['public safety', 'streetlight']"
Damaged road,The area behind the hospital is suffering due to damaged road. Immediate attention is needed.,low,"['infrastructure', 'road']"
Bad smell from drains,"Bad smell from drains reported at the community center, causing inconvenience and safety concerns.",low,"['health', 'sanitation']"
Dirty public toilet,"A case of dirty public toilet has emerged behind the hospital, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Fallen signboard,Citizens have complained about fallen signboard at the community center. It has been ignored for days.,low,"['infrastructure', 'public safety', 'environment']"
Pothole,"Pothole reported by the school gate, causing inconvenience and safety concerns.",medium,"['transport', 'infrastructure', 'road']"
Waste dumped on street,Citizens have complained about waste dumped on street outside Building 14. It has been ignored for days.,low,"['environment', 'garbage']"
Missing bus route board,Authorities are yet to act on the missing bus route board problem near Sector 5.,low,"['transport', 'infrastructure', 'road']"
Power outage,"Power outage reported near the lake, causing inconvenience and safety concerns.",high,"['electricity', 'public safety']"
Dirty public toilet,Citizens have complained about dirty public toilet in the market area. It has been ignored for days.,low,['health']
Broken classroom windows,There has been a persistent issue with broken classroom windows near Sector 5. Residents are concerned.,low,"['infrastructure', 'health', 'education']"
Sparking transformer,Citizens have complained about sparking transformer at the bus depot. It has been ignored for days.,high,"['electricity', 'infrastructure', 'public safety']"
Cracked pavement,"A case of cracked pavement has emerged by the school gate, disrupting daily activities.",low,['road']
Dirty public toilet,Citizens have complained about dirty public toilet behind the hospital. It has been ignored for days.,low,"['health', 'sanitation', 'environment']"
Polluted water body,"A case of polluted water body has emerged near Sector 5, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Mosquito breeding site,The area at the community center is suffering due to mosquito breeding site. Immediate attention is needed.,low,"['health', 'sanitation']"
No water supply,Citizens have complained about no water supply outside Building 14. It has been ignored for days.,low,['water']
Tree fallen on road,Authorities are yet to act on the tree fallen on road problem near Sector 5.,low,['environment']
Non-functional streetlight,There has been a persistent issue with non-functional streetlight outside Building 14. Residents are concerned.,medium,"['infrastructure', 'public safety', 'streetlight']"
Damaged road,"Damaged road reported in the market area, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure', 'road']"
Non-functional streetlight,"Non-functional streetlight reported by the school gate, causing inconvenience and safety concerns.",medium,['streetlight']
Waste dumped on street,Authorities are yet to act on the waste dumped on street problem outside the railway station.,low,['garbage']
Broken classroom windows,There has been a persistent issue with broken classroom windows near Sector 5. Residents are concerned.,low,['education']
Unsafe footpath,"A case of unsafe footpath has emerged outside the railway station, disrupting daily activities.",high,['public safety']
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem near Sector 5.,medium,"['transport', 'public safety', 'signal']"
Damaged wall,Authorities are yet to act on the damaged wall problem near the lake.,low,['infrastructure']
Tree fallen on road,Citizens have complained about tree fallen on road outside the railway station. It has been ignored for days.,low,"['health', 'environment']"
Frequent theft reports,Citizens have complained about frequent theft reports by the school gate. It has been ignored for days.,low,"['infrastructure', 'public safety']"
Unsafe footpath,"A case of unsafe footpath has emerged by the school gate, disrupting daily activities.",high,"['infrastructure', 'public safety']"
Missing bus route board,"Missing bus route board reported at the community center, causing inconvenience and safety concerns.",low,"['transport', 'infrastructure']"
Broken classroom windows,There has been a persistent issue with broken classroom windows at the community center. Residents are concerned.,low,"['health', 'education']"
Contaminated water,There has been a persistent issue with contaminated water outside the railway station. Residents are concerned.,low,"['sanitation', 'water']"
Polluted water body,"A case of polluted water body has emerged outside the railway station, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Malfunctioning traffic signal,There has been a persistent issue with malfunctioning traffic signal outside Building 14. Residents are concerned.,medium,"['transport', 'signal']"
Uncollected garbage,The area outside the railway station is suffering due to uncollected garbage. Immediate attention is needed.,medium,"['environment', 'sanitation', 'garbage']"
Open sewage,"A case of open sewage has emerged outside the railway station, disrupting daily activities.",high,"['health', 'sanitation', 'environment']"
Missing bus route board,Authorities are yet to act on the missing bus route board problem at the community center.,low,"['transport', 'infrastructure']"
No water supply,"A case of no water supply has emerged in the market area, disrupting daily activities.",low,['water']
Pothole,The area at the community center is suffering due to pothole. Immediate attention is needed.,medium,['road']
Damaged road,Authorities are yet to act on the damaged road problem outside the railway station.,low,"['infrastructure', 'road']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem at the bus depot.,low,"['infrastructure', 'public safety', 'health']"
Sparking transformer,The area behind the hospital is suffering due to sparking transformer. Immediate attention is needed.,high,"['electricity', 'public safety']"
Frequent voltage drops,Citizens have complained about frequent voltage drops by the school gate. It has been ignored for days.,low,['electricity']
Malfunctioning traffic signal,"Malfunctioning traffic signal reported at the bus depot, causing inconvenience and safety concerns.",medium,"['transport', 'signal']"
Broken classroom windows,The area in the residential colony is suffering due to broken classroom windows. Immediate attention is needed.,low,"['infrastructure', 'education']"
Frequent theft reports,"A case of frequent theft reports has emerged at the community center, disrupting daily activities.",low,"['infrastructure', 'public safety', 'health']"
Tree fallen on road,Citizens have complained about tree fallen on road in the market area. It has been ignored for days.,low,['environment']
No water supply,"No water supply reported in the residential colony, causing inconvenience and safety concerns.",low,"['health', 'water']"
Overflowing bins,Citizens have complained about overflowing bins at the bus depot. It has been ignored for days.,low,['garbage']
Uncollected garbage,Citizens have complained about uncollected garbage at the community center. It has been ignored for days.,medium,"['environment', 'sanitation', 'garbage']"
Uncollected garbage,"A case of uncollected garbage has emerged in the residential colony, disrupting daily activities.",medium,"['environment', 'sanitation', 'garbage']"
Tree fallen on road,"A case of tree fallen on road has emerged at the bus depot, disrupting daily activities.",low,"['health', 'sanitation', 'environment']"
Tree fallen on road,"A case of tree fallen on road has emerged in the residential colony, disrupting daily activities.",low,"['health', 'environment']"
Polluted water body,There has been a persistent issue with polluted water body outside Building 14. Residents are concerned.,low,['environment']
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem outside Building 14.,low,"['infrastructure', 'public safety', 'health']"
Signal blocked by trees,Citizens have complained about signal blocked by trees at the bus depot. It has been ignored for days.,medium,['signal']
Street in darkness,Authorities are yet to act on the street in darkness problem outside the railway station.,high,['streetlight']
Sparking transformer,The area outside the railway station is suffering due to sparking transformer. Immediate attention is needed.,high,"['electricity', 'infrastructure', 'public safety']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem outside Building 14.,low,"['health', 'sanitation', 'environment']"
School without drinking water,The area at the community center is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'education']"
Unsafe footpath,Authorities are yet to act on the unsafe footpath problem at the bus depot.,high,"['public safety', 'health']"
Frequent theft reports,Authorities are yet to act on the frequent theft reports problem near the lake.,low,"['infrastructure', 'public safety', 'health']"
Tree fallen on road,"A case of tree fallen on road has emerged near Sector 5, disrupting daily activities.",low,"['health', 'environment']"
Broken classroom windows,Authorities are yet to act on the broken classroom windows problem behind the hospital.,low,"['health', 'education']"
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem behind the hospital.,low,"['health', 'sanitation']"
Mosquito breeding site,"Mosquito breeding site reported near Sector 5, causing inconvenience and safety concerns.",low,"['health', 'sanitation']"
Clogged drainage,There has been a persistent issue with clogged drainage in the residential colony. Residents are concerned.,high,"['health', 'sanitation']"
School without drinking water,"A case of school without drinking water has emerged at the community center, disrupting daily activities.",low,"['health', 'education']"
Tree fallen on road,"Tree fallen on road reported by the school gate, causing inconvenience and safety concerns.",low,"['health', 'environment']"
Uncollected garbage,"Uncollected garbage reported behind the hospital, causing inconvenience and safety concerns.",medium,['garbage']
Polluted water body,"A case of polluted water body has emerged in the residential colony, disrupting daily activities.",low,['environment']
Flickering light,There has been a persistent issue with flickering light in the market area. Residents are concerned.,medium,"['infrastructure', 'streetlight']"
Unsafe footpath,"Unsafe footpath reported in the market area, causing inconvenience and safety concerns.",high,"['public safety', 'health']"
Frequent voltage drops,The area outside the railway station is suffering due to frequent voltage drops. Immediate attention is needed.,low,"['electricity', 'infrastructure']"
School without drinking water,The area outside the railway station is suffering due to school without drinking water. Immediate attention is needed.,low,"['infrastructure', 'education']"
Missing bus route board,There has been a persistent issue with missing bus route board in the market area. Residents are concerned.,low,"['transport', 'road']"
Clogged drainage,The area by the school gate is suffering due to clogged drainage. Immediate attention is needed.,high,['sanitation']
Polluted water body,Citizens have complained about polluted water body outside the railway station. It has been ignored for days.,low,['environment']
Frequent theft reports,"A case of frequent theft reports has emerged behind the hospital, disrupting daily activities.",low,"['public safety', 'health']"
Malfunctioning traffic signal,The area in the market area is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Broken classroom windows,There has been a persistent issue with broken classroom windows near Sector 5. Residents are concerned.,low,['education']
Broken bench,Authorities are yet to act on the broken bench problem at the bus depot.,medium,['infrastructure']
Tree fallen on road,"A case of tree fallen on road has emerged by the school gate, disrupting daily activities.",low,"['sanitation', 'environment']"
School without drinking water,There has been a persistent issue with school without drinking water in the residential colony. Residents are concerned.,low,"['infrastructure', 'education']"
Damaged road,Citizens have complained about damaged road outside the railway station. It has been ignored for days.,low,"['transport', 'infrastructure', 'road']"
Malfunctioning traffic signal,The area near the lake is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Malfunctioning traffic signal,Citizens have complained about malfunctioning traffic signal in the market area. It has been ignored for days.,medium,"['public safety', 'signal']"
Tree fallen on road,"A case of tree fallen on road has emerged at the community center, disrupting daily activities.",low,"['health', 'environment']"
Clogged drainage,"Clogged drainage reported behind the hospital, causing inconvenience and safety concerns.",high,['sanitation']
Malfunctioning traffic signal,Authorities are yet to act on the malfunctioning traffic signal problem outside Building 14.,medium,['signal']
Broken classroom windows,The area behind the hospital is suffering due to broken classroom windows. Immediate attention is needed.,low,"['health', 'education']"
Damaged road,The area behind the hospital is suffering due to damaged road. Immediate attention is needed.,low,"['transport', 'infrastructure', 'road']"
Cracked pavement,"A case of cracked pavement has emerged near Sector 5, disrupting daily activities.",low,"['infrastructure', 'road']"
Open sewage,Citizens have complained about open sewage in the residential colony. It has been ignored for days.,high,['sanitation']
Signal blocked by trees,There has been a persistent issue with signal blocked by trees outside Building 14. Residents are concerned.,medium,"['transport', 'public safety', 'signal']"
Overflowing bins,The area outside the railway station is suffering due to overflowing bins. Immediate attention is needed.,low,['garbage']
Mosquito breeding site,Authorities are yet to act on the mosquito breeding site problem outside the railway station.,low,"['health', 'sanitation', 'environment']"
Cracked pavement,"Cracked pavement reported at the bus depot, causing inconvenience and safety concerns.",low,['road']
Pipe leakage,"A case of pipe leakage has emerged by the school gate, disrupting daily activities.",low,"['health', 'sanitation', 'water']"
Fallen signboard,The area outside the railway station is suffering due to fallen signboard. Immediate attention is needed.,low,"['infrastructure', 'public safety', 'environment']"
Signal blocked by trees,The area near the lake is suffering due to signal blocked by trees. Immediate attention is needed.,medium,['signal']
Contaminated water,"Contaminated water reported in the market area, causing inconvenience and safety concerns.",low,"['health', 'sanitation', 'water']"
Sparking transformer,"A case of sparking transformer has emerged in the market area, disrupting daily activities.",high,['electricity']
Contaminated water,Authorities are yet to act on the contaminated water problem at the community center.,low,"['health', 'sanitation', 'water']"
Signal blocked by trees,The area in the market area is suffering due to signal blocked by trees. Immediate attention is needed.,medium,"['public safety', 'signal']"
Malfunctioning traffic signal,The area near the lake is suffering due to malfunctioning traffic signal. Immediate attention is needed.,medium,['signal']
Clogged drainage,Citizens have complained about clogged drainage outside Building 14. It has been ignored for days.,high,"['sanitation', 'environment']"
